               X               Y            VELX            VELY            PRES            TEMP            PS 1            PS 2  2.06250000E+03
  2.50000000E+00 -1.00000000E+00 -1.96972558E-14 -2.83496264E-20 -9.71359272E-02  9.99999975E-05 -3.17510685E-19  2.31863747E-17
  2.50000000E+00 -9.97000000E-01 -8.22225960E-02  5.86509850E-05 -9.71356063E-02  9.99999975E-05  1.60543743E-04  1.23042983E-02
  2.50000000E+00 -9.94000000E-01 -1.20987495E-01  1.67756339E-04 -9.71346614E-02  9.99999975E-05  4.67532107E-04  3.81514291E-02
  2.50000000E+00 -9.91000000E-01 -1.33790740E-01  2.71355008E-04 -9.71328157E-02  9.99999975E-05  6.84446482E-04  7.42531921E-02
  2.50000000E+00 -9.88000000E-01 -1.39089484E-01  3.68361425E-04 -9.71302292E-02  9.99999975E-05  8.75541824E-04  1.12022736E-01
  2.50000000E+00 -9.85000000E-01 -1.41732228E-01  4.61523501E-04 -9.71271549E-02  9.99999975E-05  1.04853187E-03  1.47966335E-01
  2.50000000E+00 -9.82000000E-01 -1.43180525E-01  5.52231512E-04 -9.71237685E-02  9.99999975E-05  1.20677772E-03  1.81445064E-01
  2.50000000E+00 -9.79000000E-01 -1.43991986E-01  6.41167432E-04 -9.71201807E-02  9.99999975E-05  1.35313044E-03  2.12557554E-01
  2.50000000E+00 -9.76000000E-01 -1.44422124E-01  7.28702520E-04 -9.71164623E-02  9.99999975E-05  1.48981358E-03  2.41549686E-01
  2.50000000E+00 -9.73000000E-01 -1.44604474E-01  8.15059491E-04 -9.71126615E-02  9.99999975E-05  1.61851102E-03  2.68669274E-01
  2.50000000E+00 -9.70000000E-01 -1.44615956E-01  9.00383527E-04 -9.71088121E-02  9.99999975E-05  1.74050251E-03  2.94133594E-01
  2.50000000E+00 -9.67000000E-01 -1.44503970E-01  9.84774871E-04 -9.71049403E-02  9.99999975E-05  1.85677447E-03  3.18126371E-01
  2.50000000E+00 -9.64000000E-01 -1.44299547E-01  1.06830622E-03 -9.71010647E-02  9.99999975E-05  1.96810086E-03  3.40801649E-01
  2.50000000E+00 -9.61000000E-01 -1.44023841E-01  1.15103263E-03 -9.70971996E-02  9.99999975E-05  2.07509943E-03  3.62289123E-01
  2.50000000E+00 -9.58000000E-01 -1.43691812E-01  1.23299681E-03 -9.70933588E-02  9.99999975E-05  2.17827093E-03  3.82698625E-01
  2.50000000E+00 -9.55000000E-01 -1.43314370E-01  1.31423266E-03 -9.70895509E-02  9.99999975E-05  2.27802733E-03  4.02123993E-01
  2.50000000E+00 -9.52000000E-01 -1.42899651E-01  1.39476785E-03 -9.70857830E-02  9.99999975E-05  2.37471168E-03  4.20645997E-01
  2.50000000E+00 -9.49000000E-01 -1.42453877E-01  1.47462526E-03 -9.70820612E-02  9.99999975E-05  2.46861320E-03  4.38334779E-01
  2.50000000E+00 -9.46000000E-01 -1.41981873E-01  1.55382403E-03 -9.70783907E-02  9.99999975E-05  2.55997803E-03  4.55251678E-01
  2.50000000E+00 -9.43000000E-01 -1.41487443E-01  1.63238027E-03 -9.70747758E-02  9.99999975E-05  2.64901756E-03  4.71450703E-01
  2.50000000E+00 -9.40000000E-01 -1.40973634E-01  1.71030773E-03 -9.70712202E-02  9.99999975E-05  2.73591492E-03  4.86979720E-01
  2.50000000E+00 -9.37000000E-01 -1.40442917E-01  1.78761817E-03 -9.70677267E-02  9.99999975E-05  2.82082997E-03  5.01881413E-01
  2.50000000E+00 -9.34000000E-01 -1.39897314E-01  1.86432175E-03 -9.70642977E-02  9.99999975E-05  2.90390310E-03  5.16194043E-01
  2.50000000E+00 -9.31000000E-01 -1.39338489E-01  1.94042726E-03 -9.70609353E-02  9.99999975E-05  2.98525837E-03  5.29952070E-01
  2.50000000E+00 -9.28000000E-01 -1.38767836E-01  2.01594228E-03 -9.70576418E-02  9.99999975E-05  3.06500604E-03  5.43186671E-01
  2.50000000E+00 -9.25000000E-01 -1.38186528E-01  2.09087332E-03 -9.70544185E-02  9.99999975E-05  3.14324474E-03  5.55926221E-01
  2.50000000E+00 -9.22000000E-01 -1.37595552E-01  2.16522615E-03 -9.70512663E-02  9.99999975E-05  3.22006282E-03  5.68196557E-01
  2.50000000E+00 -9.19000000E-01 -1.36995750E-01  2.23900561E-03 -9.70481865E-02  9.99999975E-05  3.29553994E-03  5.80021339E-01
