y,U_x,U_y,U_z,k
0.0228046,1.08891,-7.01274e-09,0,0.00151277
0.0230046,1.08891,-7.07815e-09,0,0.00151284
0.0232046,1.0889,-7.14356e-09,0,0.0015129
0.0234047,1.0889,-7.20896e-09,0,0.00151296
0.0236047,1.0889,-7.27437e-09,0,0.00151303
0.0238048,1.0889,-7.33978e-09,0,0.00151309
0.0240048,1.0889,-7.40519e-09,0,0.00151316
0.0242048,1.08889,-7.4706e-09,0,0.00151322
0.0244049,1.08889,-7.53601e-09,0,0.00151329
0.0246049,1.08889,-7.60141e-09,0,0.00151335
0.024805,1.08889,-7.66682e-09,0,0.00151342
0.025005,1.08889,-7.73223e-09,0,0.00151348
0.025205,1.08888,-7.79764e-09,0,0.00151354
0.0254051,1.08888,-7.86305e-09,0,0.00151361
0.0256051,1.08888,-7.92846e-09,0,0.00151367
0.0258052,1.08888,-7.99386e-09,0,0.00151374
0.0260052,1.08888,-8.05927e-09,0,0.0015138
0.0262052,1.08888,-8.12468e-09,0,0.00151387
0.0264053,1.08887,-8.19009e-09,0,0.00151393
0.0266053,1.08887,-8.2555e-09,0,0.00151399
0.0268054,1.08887,-8.32091e-09,0,0.00151406
0.0270054,1.08887,-8.38631e-09,0,0.00151412
0.0272054,1.08887,-8.45172e-09,0,0.00151419
0.0274055,1.08886,-8.51713e-09,0,0.00151425
0.0276055,1.08886,-8.58254e-09,0,0.00151432
0.0278056,1.08886,-8.64795e-09,0,0.00151438
0.0280056,1.08886,-8.71336e-09,0,0.00151445
0.0282056,1.08886,-8.77877e-09,0,0.00151451
0.0284057,1.08885,-8.84417e-09,0,0.00151457
0.0286057,1.08885,-8.90958e-09,0,0.00151464
0.0288058,1.08885,-8.97499e-09,0,0.0015147
0.0290058,1.08885,-9.0404e-09,0,0.00151477
0.0292058,1.08885,-9.10581e-09,0,0.00151483
0.0294059,1.08884,-9.17122e-09,0,0.0015149
0.0296059,1.08884,-9.23662e-09,0,0.00151496
0.029806,1.08884,-9.30203e-09,0,0.00151502
0.030006,1.08884,-9.36744e-09,0,0.00151509
0.030206,1.08884,-9.43285e-09,0,0.00151515
0.0304061,1.08883,-9.49826e-09,0,0.00151522
0.0306061,1.08883,-9.56367e-09,0,0.00151528
0.0308062,1.08883,-9.62907e-09,0,0.00151535
0.0310062,1.08883,-9.69448e-09,0,0.00151541
0.0312062,1.08883,-9.75989e-09,0,0.00151547
0.0314063,1.08882,-9.8253e-09,0,0.00151554
0.0316063,1.08882,-9.89071e-09,0,0.0015156
0.0318064,1.08882,-9.95612e-09,0,0.00151567
0.0320064,1.08882,-1.00215e-08,0,0.00151573
0.0322064,1.08882,-1.00869e-08,0,0.0015158
0.0324065,1.08881,-1.01523e-08,0,0.00151586
0.0326065,1.08881,-1.02177e-08,0,0.00151593
0.0328066,1.08881,-1.02832e-08,0,0.00151599
0.0330066,1.08881,-1.03486e-08,0,0.00151605
0.0332066,1.08881,-1.0414e-08,0,0.00151612
0.0334067,1.0888,-1.04794e-08,0,0.00151618
0.0336067,1.0888,-1.05448e-08,0,0.00151625
0.0338068,1.0888,-1.06102e-08,0,0.00151631
0.0340068,1.0888,-1.06756e-08,0,0.00151638
0.0342068,1.0888,-1.0741e-08,0,0.00151644
0.0344069,1.0888,-1.08064e-08,0,0.0015165
0.0346069,1.08879,-1.08718e-08,0,0.00151657
0.034807,1.08879,-1.09372e-08,0,0.00151663
0.035007,1.08879,-1.10027e-08,0,0.0015167
0.035207,1.08879,-1.10681e-08,0,0.00151676
0.0354071,1.08879,-1.11335e-08,0,0.00151683
0.0356071,1.08878,-1.11989e-08,0,0.00151689
0.0358072,1.08878,-1.12643e-08,0,0.00151696
0.0360072,1.08878,-1.13297e-08,0,0.00151702
0.0362072,1.08878,-1.13951e-08,0,0.00151708
0.0364073,1.08878,-1.14605e-08,0,0.00151715
0.0366073,1.08877,-1.15259e-08,0,0.00151721
0.0368074,1.08877,-1.15913e-08,0,0.00151728
0.0370074,1.08877,-1.16567e-08,0,0.00151734
0.0372074,1.08877,-1.17148e-08,0,0.00151742
0.0374075,1.08876,-1.17403e-08,0,0.00151755
0.0376075,1.08876,-1.17658e-08,0,0.00151767
0.0378076,1.08876,-1.17914e-08,0,0.0015178
0.0380076,1.08875,-1.18169e-08,0,0.00151793
0.0382076,1.08875,-1.18425e-08,0,0.00151806
0.0384077,1.08874,-1.1868e-08,0,0.00151819
0.0386077,1.08874,-1.18936e-08,0,0.00151832
0.0388078,1.08874,-1.19191e-08,0,0.00151844
0.0390078,1.08873,-1.19447e-08,0,0.00151857
0.0392078,1.08873,-1.19702e-08,0,0.0015187
0.0394079,1.08872,-1.19958e-08,0,0.00151883
0.0396079,1.08872,-1.20213e-08,0,0.00151896
0.039808,1.08872,-1.20469e-08,0,0.00151908
0.040008,1.08871,-1.20724e-08,0,0.00151921
0.040208,1.08871,-1.2098e-08,0,0.00151934
0.0404081,1.0887,-1.21235e-08,0,0.00151947
0.0406081,1.0887,-1.21491e-08,0,0.0015196
0.0408082,1.0887,-1.21746e-08,0,0.00151973
0.0410082,1.08869,-1.22002e-08,0,0.00151985
