distance,x,y,z,U_x,U_y,U_z,k,omega
3.46945e-18,2.5,-0.25,3.46945e-18,3.18292e-16,-6.08335e-21,3.22016e-32,8.28355e-21,13147.6
0.00075,2.5,-0.24925,1.38778e-17,0.0627947,-1.41231e-05,0,4.38117e-05,1767.1
0.0015,2.5,-0.2485,1.21431e-17,0.121832,-5.41533e-05,-6.94258e-19,0.000368818,376.317
0.00225,2.5,-0.24775,6.93889e-18,0.164526,-0.000119934,3.91664e-19,0.0010128,186.91
0.003,2.5,-0.247,1.04083e-17,0.191219,-0.000202709,0,0.00161469,116.753
0.00375,2.5,-0.24625,1.60462e-17,0.207846,-0.000296769,0,0.00212073,81.696
0.0045,2.5,-0.2455,1.47451e-17,0.219093,-0.00040051,0,0.0025649,61.3611
0.00525,2.5,-0.24475,1.43115e-17,0.226993,-0.00050941,1.43398e-20,0.00295108,48.9891
0.006,2.5,-0.244,1.69136e-17,0.233145,-0.000623994,4.62983e-19,0.0033029,40.548
0.00675,2.5,-0.24325,1.73472e-17,0.238037,-0.000740282,3.38553e-19,0.00361858,34.6357
0.0075,2.5,-0.2425,1.56125e-17,0.24221,-0.000860704,-1.4707e-19,0.0039143,30.1611
0.00825,2.5,-0.24175,1.81062e-17,0.245802,-0.000981269,-5.65387e-19,0.00418781,26.6929
0.009,2.5,-0.241,1.21431e-17,0.2488,-0.00110482,-1.88185e-19,0.00443676,24.2409
0.00975,2.5,-0.24025,1.38778e-17,0.251605,-0.00123049,1.46055e-19,0.0046774,22.1062
0.0105,2.5,-0.2395,1.51788e-17,0.25417,-0.00135624,4.49212e-19,0.00490574,20.3147
0.01125,2.5,-0.23875,1.38778e-17,0.256411,-0.00148186,2.46047e-19,0.00511469,18.9641
0.012,2.5,-0.238,1.82146e-17,0.258626,-0.00161038,7.50753e-21,0.00532369,17.6828
0.01275,2.5,-0.23725,1.73472e-17,0.260602,-0.00173904,7.26956e-21,0.00551717,16.6906
0.0135,2.5,-0.2365,1.9082e-17,0.262518,-0.00186602,-1.07236e-21,0.00570538,15.7566
0.01425,2.5,-0.23575,2.34188e-17,0.264288,-0.00199577,-1.08212e-21,0.00588404,15.0107
0.015,2.5,-0.235,2.42861e-17,0.266058,-0.00212654,-1.09236e-21,0.00606292,14.2763
