distance,x,y,z,U_x,U_y,U_z,k,omega
0,0.25,-0.25,0,0,0,0,0,13147.6
0.00075,0.25,-0.24925,1.04083e-17,0.00340381,9.61303e-06,0,1.26899e-07,1712.96
0.0015,0.25,-0.2485,1.0842e-17,0.0054473,4.42696e-05,0,1.13485e-06,341.389
0.00225,0.25,-0.24775,3.46945e-18,0.00609977,0.000122389,3.4926e-18,5.28296e-06,155.572
0.003,0.25,-0.247,0,0.0054177,0.000254221,-2.08058e-18,1.5267e-05,93.0279
0.00375,0.25,-0.24625,6.93889e-18,0.00347422,0.000442339,4.53025e-18,3.4128e-05,63.2494
0.0045,0.25,-0.2455,1.38778e-17,0.000319241,0.00071031,7.08542e-18,6.63063e-05,44.7711
0.00525,0.25,-0.24475,1.38778e-17,-0.0034733,0.00104753,1.51719e-18,0.000109961,34.154
0.006,0.25,-0.244,1.04083e-17,-0.00762138,0.00146144,-5.42669e-22,0.00016237,27.0848
0.00675,0.25,-0.24325,1.38778e-17,-0.0113841,0.0018965,-5.62104e-18,0.000213116,22.6596
0.0075,0.25,-0.2425,2.08167e-17,-0.0151307,0.00239389,-8.27506e-18,0.000266066,19.3028
0.00825,0.25,-0.24175,2.08167e-17,-0.0184045,0.00288214,-1.08865e-19,0.000313914,16.868
0.009,0.25,-0.241,2.08167e-17,-0.0213534,0.00341523,0,0.00035909,15.1519
0.00975,0.25,-0.24025,2.42861e-17,-0.0242139,0.003983,0,0.000404209,13.6133
0.0105,0.25,-0.2395,3.46945e-17,-0.0266612,0.00451346,0,0.000443956,12.4053
0.01125,0.25,-0.23875,3.81639e-17,-0.0288544,0.00506818,0,0.000481559,11.4674
0.012,0.25,-0.238,4.85723e-17,-0.0309885,0.00563424,0,0.000519005,10.5774
0.01275,0.25,-0.23725,5.55112e-17,-0.032933,0.00622555,0,0.000555297,9.85153
0.0135,0.25,-0.2365,4.85723e-17,-0.034594,0.00675043,0,0.000586999,9.23905
0.01425,0.25,-0.23575,4.85723e-17,-0.0361405,0.00730678,0,0.000618638,8.72582
0.015,0.25,-0.235,4.85723e-17,-0.0376578,0.00786643,-2.54433e-19,0.000650223,8.22148
0.01575,0.25,-0.23425,5.89806e-17,-0.0390647,0.0084561,-2.54428e-18,0.000681973,7.79437
0.0165,0.25,-0.2335,5.89806e-17,-0.0402489,0.00895815,-4.48692e-18,0.000708943,7.42993
0.01725,0.25,-0.23275,5.89806e-17,-0.0413401,0.00948282,-3.19382e-18,0.000736096,7.12212
0.018,0.25,-0.232,5.55112e-17,-0.0424024,0.0100114,-1.24199e-18,0.000763207,6.82568
0.01875,0.25,-0.23125,5.55112e-17,-0.0434266,0.0105502,6.23302e-22,0.000790516,6.54611
0.0195,0.25,-0.2305,5.89806e-17,-0.0443743,0.0110966,5.65099e-22,0.000817704,6.30113
0.02025,0.25,-0.22975,6.245e-17,-0.0451786,0.0115665,5.13701e-22,0.000841011,6.09012
0.021,0.25,-0.229,6.245e-17,-0.0459239,0.0120482,5.51345e-19,0.000864552,5.90559
0.02175,0.25,-0.22825,6.59195e-17,-0.0466365,0.0125357,1.38188e-18,0.000888186,5.7344
0.0225,0.25,-0.2275,6.67869e-17,-0.0473389,0.0130226,2.2044e-18,0.00091171,5.56323
0.02325,0.25,-0.22675,7.63278e-17,-0.0479887,0.0135247,2.155e-18,0.000935777,5.41245
