distance,x,y,z,U_x,U_y,U_z,k,omega
3.46945e-18,1.5,-0.25,3.46945e-18,0,0,0,0,13147.6
0.00075,1.5,-0.24925,3.46945e-18,-0.017831,-4.79044e-05,0,5.0584e-05,1711.01
0.0015,1.5,-0.2485,3.46945e-18,-0.0278266,-0.000174158,0,0.000418856,335.11
0.00225,1.5,-0.24775,6.72205e-18,-0.0301738,-0.000374837,0,0.0012661,149.079
0.003,1.5,-0.247,0,-0.0295172,-0.000607516,0,0.00216303,89.8135
0.00375,1.5,-0.24625,0,-0.0281258,-0.000841113,0,0.00290055,64.479
0.0045,1.5,-0.2455,6.93889e-18,-0.0265314,-0.0010916,1.91619e-19,0.00355454,49.814
0.00525,1.5,-0.24475,3.46945e-18,-0.0249897,-0.00134062,6.59823e-21,0.00410133,40.984
0.006,1.5,-0.244,1.73472e-18,-0.0234271,-0.00160421,2.38466e-22,0.00460674,34.6309
0.00675,1.5,-0.24325,7.80626e-18,-0.0220057,-0.00185467,-6.98564e-20,0.00503346,30.3123
0.0075,1.5,-0.2425,8.67362e-18,-0.0205495,-0.00212333,-1.52072e-19,0.00544977,26.8106
0.00825,1.5,-0.24175,1.02999e-17,-0.0192289,-0.00237642,-2.2153e-22,0.0058145,24.1728
0.009,1.5,-0.241,7.80626e-18,-0.0178849,-0.0026393,0,0.00615315,22.2231
0.00975,1.5,-0.24025,6.93889e-18,-0.0165148,-0.0029154,0,0.00649134,20.4625
0.0105,1.5,-0.2395,6.93889e-18,-0.0152893,-0.0031703,0,0.00678963,19.0688
0.01125,1.5,-0.23875,3.46945e-18,-0.014027,-0.00343344,0,0.00707286,17.9691
0.012,1.5,-0.238,1.73472e-18,-0.0127818,-0.00370228,0,0.00735633,16.9228
0.01275,1.5,-0.23725,3.46945e-18,-0.0114756,-0.00398294,0,0.00763233,16.0638
0.0135,1.5,-0.2365,6.93889e-18,-0.0103456,-0.0042332,0,0.00787449,15.3374
0.01425,1.5,-0.23575,1.38778e-17,-0.00912608,-0.00450091,0,0.00811764,14.7203
0.015,1.5,-0.235,1.04083e-17,-0.00792977,-0.00477143,2.53082e-20,0.00836145,14.1132
0.01575,1.5,-0.23425,1.38778e-17,-0.00664502,-0.00505738,2.30974e-19,0.00860421,13.6008
0.0165,1.5,-0.2335,1.38778e-17,-0.00554821,-0.00530905,4.14777e-19,0.00881798,13.1498
0.01725,1.5,-0.23275,1.56125e-17,-0.0043689,-0.00557451,2.87066e-19,0.00903077,12.7682
0.018,1.5,-0.232,1.64799e-17,-0.00319632,-0.00584357,1.24875e-19,0.00924438,12.3991
0.01875,1.5,-0.23125,1.64799e-17,-0.00198704,-0.00612185,-5.86612e-20,0.00946037,12.0488
0.0195,1.5,-0.2305,1.73472e-17,-0.000736257,-0.00640647,-2.01564e-19,0.00967352,11.7421
0.02025,1.5,-0.22975,1.30104e-17,0.00034643,-0.00665898,-3.35111e-19,0.00986269,11.47
0.021,1.5,-0.229,1.21431e-17,0.00149369,-0.0069218,-2.89374e-19,0.0100518,11.2313
0.02175,1.5,-0.22825,1.04083e-17,0.0026733,-0.00719178,-1.71614e-19,0.0102426,11.0073
0.0225,1.5,-0.2275,1.56125e-17,0.00382766,-0.00746177,-3.64525e-20,0.0104334,10.7833
0.02325,1.5,-0.22675,1.21431e-17,0.00509042,-0.00775043,-2.90878e-20,0.0106297,10.5826
0.024,1.5,-0.226,1.38778e-17,0.00631628,-0.00803091,-4.51339e-20,0.0108182,10.3999
0.02475,1.5,-0.22525,1.38778e-17,0.00739375,-0.00828221,-7.45274e-20,0.0109872,10.2362
0.0255,1.5,-0.2245,1.56125e-17,0.00853247,-0.00854303,-7.17771e-20,0.0111575,10.0888
0.02625,1.5,-0.22375,1.95156e-17,0.00972828,-0.00881356,-4.53652e-20,0.0113303,9.95397
0.027,1.5,-0.223,1.21431e-17,0.010904,-0.00908409,-3.09257e-20,0.0115033,9.81923
0.02775,1.5,-0.22225,1.10589e-17,0.012083,-0.00935657,1.77385e-21,0.0116769,9.68609
0.0285,1.5,-0.2215,8.67362e-18,0.0134046,-0.0096522,3.04114e-20,0.0118576,9.57212
0.02925,1.5,-0.22075,1.04083e-17,0.0146354,-0.0099299,3.84707e-20,0.0120277,9.46512
0.03,1.5,-0.22,1.04083e-17,0.0157347,-0.0101816,5.98583e-20,0.0121818,9.36814
0.03075,1.5,-0.21925,1.38778e-17,0.0168642,-0.0104373,6.97626e-20,0.0123362,9.27739
0.0315,1.5,-0.2185,1.73472e-17,0.0180919,-0.010708,4.61989e-20,0.0124947,9.19983
0.03225,1.5,-0.21775,1.73472e-17,0.0193105,-0.0109787,3.87025e-20,0.0126534,9.12231
0.033,1.5,-0.217,1.9082e-17,0.0205141,-0.0112494,1.95588e-20,0.012812,9.0448
0.03375,1.5,-0.21625,1.9082e-17,0.0217454,-0.0115247,0,0.0129721,8.97001
0.0345,1.5,-0.2155,2.42861e-17,0.0231098,-0.0118203,0,0.0131387,8.9072
0.03525,1.5,-0.21475,2.42861e-17,0.0244009,-0.0121015,0,0.0132975,8.84747
0.036,1.5,-0.214,2.42861e-17,0.0255724,-0.0123593,0,0.0134431,8.79273
0.03675,1.5,-0.21325,2.21177e-17,0.0267016,-0.0126089,0,0.0135839,8.73973
