distance,x,y,z,U_x,U_y,U_z,k,omega
0,1.5,-0.25,0,0,0,0,0,3286.9
0.00075,1.5,-0.24925,0,-0.0178372,-4.87549e-05,5.82913e-19,0.000101488,2091
0.0015,1.5,-0.2485,8.67362e-18,-0.0274763,-0.000174946,8.03621e-19,0.000483844,424.839
0.00225,1.5,-0.24775,3.46945e-18,-0.0302549,-0.000378122,-9.75845e-19,0.00128537,171.945
0.003,1.5,-0.247,6.07153e-18,-0.0294298,-0.000629328,-3.33681e-19,0.00219479,101.233
0.00375,1.5,-0.24625,1.47451e-17,-0.0282447,-0.000863485,1.77884e-19,0.00296769,64.0767
0.0045,1.5,-0.2455,1.56125e-17,-0.0266978,-0.00111523,1.51125e-19,0.00361331,50.0524
0.00525,1.5,-0.24475,1.9082e-17,-0.0252773,-0.00135501,1.27597e-19,0.00417013,39.513
0.006,1.5,-0.244,2.29851e-17,-0.0237647,-0.00161982,-1.78871e-19,0.00466108,33.9218
0.00675,1.5,-0.24325,2.42861e-17,-0.0224878,-0.00185198,-2.52286e-19,0.00509134,29.0211
0.0075,1.5,-0.2425,2.42861e-17,-0.0209973,-0.0021328,-3.06443e-19,0.00549562,26.2196
0.00825,1.5,-0.24175,2.42861e-17,-0.0197299,-0.00238241,-1.8985e-19,0.00585401,23.7683
0.009,1.5,-0.241,2.25514e-17,-0.0184825,-0.00263187,-1.90517e-19,0.00619343,21.642
0.00975,1.5,-0.24025,2.08167e-17,-0.0170729,-0.00291776,-3.13102e-20,0.00652756,20.1639
0.0105,1.5,-0.2395,1.9082e-17,-0.0158788,-0.00316984,5.8221e-20,0.0068227,18.8602
0.01125,1.5,-0.23875,1.73472e-17,-0.0147454,-0.00341119,1.92842e-19,0.00710498,17.6122
0.012,1.5,-0.238,2.08167e-17,-0.013396,-0.00369975,1.32399e-19,0.0073899,16.7638
0.01275,1.5,-0.23725,1.82417e-17,-0.0121121,-0.00397767,9.6832e-20,0.00766462,15.948
0.0135,1.5,-0.2365,1.56125e-17,-0.0110207,-0.00422138,4.44175e-20,0.00790535,15.2325
0.01425,1.5,-0.23575,1.34441e-17,-0.00989562,-0.00447225,1.26283e-20,0.00814727,14.549
0.015,1.5,-0.235,1.38778e-17,-0.00858372,-0.00476292,9.53981e-20,0.00839575,14.0425
0.01575,1.5,-0.23425,1.04083e-17,-0.00731276,-0.00504634,1.77731e-19,0.00863831,13.5487
0.0165,1.5,-0.2335,8.67362e-18,-0.00622521,-0.00529581,2.49953e-19,0.0088519,13.114
0.01725,1.5,-0.23275,6.93889e-18,-0.00515858,-0.0055412,3.19929e-19,0.00906187,12.6864
0.018,1.5,-0.232,6.07153e-18,-0.00395627,-0.00581452,2.70808e-19,0.00927819,12.3297
0.01875,1.5,-0.23125,6.93889e-18,-0.00266271,-0.00610663,1.41585e-19,0.00949878,12.0207
