distance,x,y,z,U_x,U_y,U_z,k,omega
4.44103e-16,1.625,-0.25,-3.46945e-18,0,0,0,0,3286.9
0.00075,1.625,-0.24925,-3.46945e-18,-0.00212069,-4.61925e-05,-2.60894e-19,9.48268e-05,2116.72
0.0015,1.625,-0.2485,-3.46945e-18,1.06303e-05,-0.000168923,3.2891e-19,0.000465019,424.386
0.00225,1.625,-0.24775,0,0.00453737,-0.000366257,-3.54148e-19,0.00124168,172.031
0.003,1.625,-0.247,-6.93889e-18,0.00842207,-0.000608407,4.365e-20,0.00211754,102.104
0.00375,1.625,-0.24625,-3.46945e-18,0.0116569,-0.000840628,2.63849e-19,0.00288409,64.2855
0.0045,1.625,-0.2455,-6.93889e-18,0.0141428,-0.00108738,-2.78243e-19,0.00351332,50.2765
0.00525,1.625,-0.24475,-3.46945e-18,0.0163508,-0.0013228,-4.16071e-19,0.0040575,39.6812
0.006,1.625,-0.244,-6.93889e-18,0.0182923,-0.00157912,-5.20727e-20,0.00452929,34.1622
0.00675,1.625,-0.24325,-6.93889e-18,0.0200265,-0.00181127,1.4907e-19,0.0049568,29.1527
0.0075,1.625,-0.2425,-3.46945e-18,0.0217639,-0.00208287,2.50364e-19,0.00534524,26.3777
0.00825,1.625,-0.24175,-3.46945e-18,0.023297,-0.00233325,2.56589e-19,0.00570156,23.8723
0.009,1.625,-0.241,-6.07153e-18,0.0247653,-0.00257825,2.84112e-19,0.00603256,21.7321
0.00975,1.625,-0.24025,-1.04083e-17,0.0262906,-0.00285246,7.49576e-20,0.00635057,20.2797
0.0105,1.625,-0.2395,-1.17094e-17,0.0276701,-0.00310826,-9.34106e-20,0.00664708,18.9307
0.01125,1.625,-0.23875,-1.38778e-17,0.0289445,-0.00334547,-2.85532e-19,0.00692231,17.6726
0.012,1.625,-0.238,-1.21431e-17,0.0303993,-0.00362898,-2.51702e-19,0.00719982,16.8157
0.01275,1.625,-0.23725,-1.38778e-17,0.0317127,-0.00389288,-2.39803e-19,0.00745786,16.0242
0.0135,1.625,-0.2365,-7.80626e-18,0.0329498,-0.00414353,-2.21194e-19,0.00770305,15.271
0.01425,1.625,-0.23575,-4.33681e-18,0.0341582,-0.00439018,-1.95553e-19,0.00793868,14.5804
0.015,1.625,-0.235,-5.20417e-18,0.0355352,-0.00467579,-1.89809e-19,0.00818035,14.0678
0.01575,1.625,-0.23425,-3.46945e-18,0.0367918,-0.00494273,-1.83877e-19,0.00840615,13.5915
0.0165,1.625,-0.2335,-3.03577e-18,0.0380025,-0.0052018,-1.78131e-19,0.0086253,13.1294
0.01725,1.625,-0.23275,-5.20417e-18,0.0391221,-0.00544312,-1.73447e-19,0.00882958,12.6966
0.018,1.625,-0.232,-2.60209e-18,0.0403687,-0.00571174,-1.35419e-19,0.00903975,12.335
0.01875,1.625,-0.23125,-3.46945e-18,0.041698,-0.00599825,-7.49278e-20,0.00925354,12.0219
0.0195,1.625,-0.2305,-3.46945e-18,0.0428938,-0.00626239,-1.25678e-20,0.00945061,11.7353
0.02025,1.625,-0.22975,-2.1684e-18,0.0440819,-0.00652497,4.89778e-20,0.00964652,11.4503
0.021,1.625,-0.229,-1.73472e-18,0.0451701,-0.00676747,1.00013e-19,0.00982755,11.1855
0.02175,1.625,-0.22825,-1.30104e-18,0.046304,-0.00701914,1.40157e-19,0.0100109,10.9353
0.0225,1.625,-0.2275,-3.46945e-18,0.047618,-0.00730694,1.37364e-19,0.0102033,10.7429
0.02325,1.625,-0.22675,-3.46945e-18,0.048889,-0.00758714,1.34529e-19,0.0103907,10.556
0.024,1.625,-0.226,-3.46945e-18,0.0500736,-0.00785208,1.31611e-19,0.0105679,10.3803
0.02475,1.625,-0.22525,-2.46656e-18,0.0512556,-0.00811647,1.28709e-19,0.0107447,10.2049
0.0255,1.625,-0.2245,-3.46945e-18,0.0523343,-0.00835971,1.26435e-19,0.0109074,10.0425
0.02625,1.625,-0.22375,-3.46945e-18,0.053413,-0.00860296,1.24161e-19,0.0110701,9.88004
0.027,1.625,-0.223,-2.60209e-18,0.0546878,-0.00888255,1.27478e-19,0.0112428,9.75562
0.02775,1.625,-0.22225,-1.73472e-18,0.0560085,-0.00917062,1.321e-19,0.0114177,9.64009
0.0285,1.625,-0.2215,-3.46945e-18,0.0572543,-0.00944509,1.3272e-19,0.0115845,9.53057
0.02925,1.625,-0.22075,-3.46945e-18,0.0584495,-0.00971034,1.30628e-19,0.0117457,9.42514
0.03,1.625,-0.22,0,0.0596446,-0.00997559,1.28536e-19,0.0119069,9.31971
0.03075,1.625,-0.21925,8.67362e-19,0.0607484,-0.0102221,1.31581e-19,0.0120567,9.22111
0.0315,1.625,-0.2185,3.46945e-18,0.0618376,-0.0104656,1.35444e-19,0.0122047,9.12359
0.03225,1.625,-0.21775,8.67362e-19,0.0629897,-0.0107197,1.28815e-19,0.0123557,9.0339
0.033,1.625,-0.217,2.60209e-18,0.0643419,-0.0110073,8.88067e-20,0.0125163,8.96912
0.03375,1.625,-0.21625,5.20417e-18,0.0656942,-0.0112949,4.8798e-20,0.0126769,8.90433
0.0345,1.625,-0.2155,0,0.0669698,-0.0115686,1.1561e-20,0.0128298,8.84312
0.03525,1.625,-0.21475,0,0.0681977,-0.0118335,-2.39449e-20,0.0129778,8.78414
0.036,1.625,-0.214,3.46945e-18,0.0694255,-0.0120984,-5.94507e-20,0.0131259,8.72515
0.03675,1.625,-0.21325,0,0.0706127,-0.0123551,-9.43504e-20,0.0132693,8.6678
0.0375,1.625,-0.2125,1.73472e-18,0.0717329,-0.0125983,-1.28251e-19,0.0134052,8.61314
0.03825,1.625,-0.21175,1.73472e-18,0.0728532,-0.0128415,-1.62152e-19,0.0135411,8.55847
0.039,1.625,-0.211,1.95156e-18,0.0740521,-0.0130964,-1.79528e-19,0.0136803,8.51064
0.03975,1.625,-0.21025,1.73472e-18,0.075464,-0.013383,-1.52175e-19,0.0138287,8.48132
