distance,x,y,z,U_x,U_y,U_z,k,omega
0.69825,2.5,0.44825,7.11237e-17,0.917296,-0.0271553,-3.1794e-21,0.000156362,0.295532
0.699,2.5,0.449,7.28584e-17,0.917445,-0.0271506,-3.06811e-21,0.000152483,0.293428
0.69975,2.5,0.44975,7.28584e-17,0.917593,-0.0271459,-2.95682e-21,0.000148604,0.291324
0.7005,2.5,0.4505,7.28584e-17,0.917742,-0.0271413,-2.84553e-21,0.000144725,0.28922
0.70125,2.5,0.45125,7.63278e-17,0.91789,-0.0271366,-2.73424e-21,0.000140846,0.287117
0.702,2.5,0.452,7.51081e-17,0.918023,-0.0271312,-2.61555e-21,0.000137653,0.285268
0.70275,2.5,0.45275,7.56773e-17,0.918119,-0.0271238,-2.47859e-21,0.000136159,0.284051
0.7035,2.5,0.4535,7.39426e-17,0.918215,-0.0271164,-2.34162e-21,0.000134665,0.282834
0.70425,2.5,0.45425,7.28584e-17,0.91831,-0.027109,-2.20465e-21,0.000133171,0.281617
0.705,2.5,0.455,7.11237e-17,0.918406,-0.0271016,-2.06768e-21,0.000131677,0.2804
0.70575,2.5,0.45575,7.11237e-17,0.918501,-0.0270942,-1.93072e-21,0.000130183,0.279183
0.7065,2.5,0.4565,7.02563e-17,0.918597,-0.0270868,-1.79375e-21,0.000128689,0.277966
0.70725,2.5,0.45725,6.76542e-17,0.918693,-0.0270794,-1.65678e-21,0.000127195,0.276749
0.708,2.5,0.458,6.59195e-17,0.918788,-0.027072,-1.51981e-21,0.000125701,0.275533
0.70875,2.5,0.45875,6.59195e-17,0.918884,-0.0270646,-1.38285e-21,0.000124207,0.274316
0.7095,2.5,0.4595,6.41848e-17,0.918979,-0.0270572,-1.24588e-21,0.000122713,0.273099
0.71025,2.5,0.46025,6.41848e-17,0.919075,-0.0270498,-1.10891e-21,0.000121218,0.271882
0.711,2.5,0.461,6.41848e-17,0.919171,-0.0270424,-9.71945e-22,0.000119724,0.270665
0.71175,2.5,0.46175,6.245e-17,0.919266,-0.027035,-8.34978e-22,0.00011823,0.269448
0.7125,2.5,0.4625,6.07153e-17,0.919362,-0.0270276,-6.98011e-22,0.000116736,0.268231
0.71325,2.5,0.46325,6.07153e-17,0.919457,-0.0270202,-5.61043e-22,0.000115242,0.267014
0.714,2.5,0.464,5.89806e-17,0.919553,-0.0270128,-4.24076e-22,0.000113748,0.265797
0.71475,2.5,0.46475,5.72459e-17,0.919649,-0.0270054,-2.87109e-22,0.000112254,0.26458
0.7155,2.5,0.4655,6.07153e-17,0.919744,-0.026998,-1.55829e-22,0.000110762,0.263365
0.71625,2.5,0.46625,5.89806e-17,0.919836,-0.0269907,-1.55829e-22,0.000109319,0.262186
0.717,2.5,0.467,6.245e-17,0.919929,-0.0269834,-1.55829e-22,0.000107876,0.261008
0.71775,2.5,0.46775,6.245e-17,0.920021,-0.0269761,-1.55829e-22,0.000106432,0.25983
0.7185,2.5,0.4685,5.89806e-17,0.920114,-0.0269688,-1.55829e-22,0.000104989,0.258652
0.71925,2.5,0.46925,5.89806e-17,0.920206,-0.0269615,-1.55829e-22,0.000103546,0.257473
0.72,2.5,0.47,6.245e-17,0.920298,-0.0269542,-1.55829e-22,0.000102102,0.256295
0.72075,2.5,0.47075,6.245e-17,0.920391,-0.0269469,-1.55829e-22,0.000100659,0.255117
0.7215,2.5,0.4715,6.245e-17,0.920483,-0.0269396,-1.55829e-22,9.92159e-05,0.253938
0.72225,2.5,0.47225,5.89806e-17,0.920575,-0.0269323,-1.55829e-22,9.77727e-05,0.25276
0.723,2.5,0.473,5.89806e-17,0.920668,-0.026925,-1.55829e-22,9.63294e-05,0.251582
0.72375,2.5,0.47375,6.59195e-17,0.92076,-0.0269177,-1.55829e-22,9.48861e-05,0.250403
