distance,x,y,z,U_x,U_y,U_z,k,omega
6.20634e-17,0.375,-0.25,0,0,0,0,0,3286.9
0.00075,0.375,-0.24925,0,-0.0140046,8.57439e-05,-1.25318e-17,3.89821e-06,2122.18
0.0015,0.375,-0.2485,-8.67362e-18,-0.0292493,0.000303093,3.72138e-18,2.46195e-05,436.495
0.00225,0.375,-0.24775,-1.21431e-17,-0.0453988,0.000639303,-4.03538e-18,7.18366e-05,183.728
0.003,0.375,-0.247,-1.73472e-17,-0.0606514,0.00113112,-4.97323e-18,0.000199828,111.019
0.00375,0.375,-0.24625,-1.38778e-17,-0.073276,0.00160449,-4.47777e-18,0.000335855,70.5084
0.0045,0.375,-0.2455,-1.73472e-17,-0.0822941,0.00210441,-1.11506e-18,0.000492751,54.3343
0.00525,0.375,-0.24475,-1.38778e-17,-0.089319,0.00254855,1.7099e-18,0.00063899,41.897
0.006,0.375,-0.244,-1.73472e-17,-0.0938165,0.00298379,3.06488e-18,0.00077917,35.099
0.00675,0.375,-0.24325,-1.21431e-17,-0.0978302,0.00337453,3.93606e-18,0.000907626,28.9158
0.0075,0.375,-0.2425,-1.04083e-17,-0.100019,0.00376371,3.40018e-18,0.00103631,25.5763
0.00825,0.375,-0.24175,-6.50521e-18,-0.10204,0.00412854,4.05831e-18,0.00115183,22.5604
0.009,0.375,-0.241,-9.54098e-18,-0.103649,0.00446651,3.24238e-18,0.00126293,20.0229
0.00975,0.375,-0.24025,-6.93889e-18,-0.104613,0.00481333,1.63155e-18,0.00137261,18.4171
0.0105,0.375,-0.2395,-6.72205e-18,-0.105532,0.00514219,-1.03606e-18,0.00147298,16.9245
0.01125,0.375,-0.23875,-6.93889e-18,-0.106335,0.00544137,-1.9121e-18,0.00156803,15.5344
0.012,0.375,-0.238,-5.20417e-18,-0.1067,0.00576492,-1.84402e-18,0.00166583,14.6597
0.01275,0.375,-0.23725,-6.93889e-18,-0.107059,0.00607167,-1.73488e-18,0.00175462,13.8549
0.0135,0.375,-0.2365,-8.67362e-18,-0.107386,0.00636181,-1.65263e-18,0.00183949,13.0879
0.01425,0.375,-0.23575,-7.80626e-18,-0.107637,0.00664043,-1.56874e-18,0.0019219,12.3872
0.015,0.375,-0.235,-6.93889e-18,-0.107662,0.0069411,-1.28081e-18,0.00200678,11.8838
0.01575,0.375,-0.23425,-6.93889e-18,-0.107701,0.00722639,-8.03816e-19,0.00208449,11.4175
0.0165,0.375,-0.2335,-9.1073e-18,-0.107736,0.0075039,-3.34174e-19,0.00215982,10.9649
0.01725,0.375,-0.23275,-1.21431e-17,-0.107745,0.00775919,-9.58392e-20,0.00223092,10.5409
0.018,0.375,-0.232,-1.21431e-17,-0.107642,0.00802982,-1.01365e-19,0.00230373,10.1842
0.01875,0.375,-0.23125,-1.73472e-17,-0.107463,0.0083103,-2.58324e-19,0.00237748,9.87331
0.0195,0.375,-0.2305,-1.38778e-17,-0.107312,0.00857315,5.19853e-20,0.002444,9.58761
0.02025,0.375,-0.22975,-1.51788e-17,-0.10716,0.00883444,3.33759e-19,0.00251022,9.30341
0.021,0.375,-0.229,-1.56125e-17,-0.106999,0.00907307,1.9919e-19,0.00257216,9.04122
0.02175,0.375,-0.22825,-1.32273e-17,-0.106807,0.00931665,1.19089e-19,0.0026346,8.79117
0.0225,0.375,-0.2275,-1.21431e-17,-0.106495,0.00957978,2.53705e-19,0.00269906,8.58902
0.02325,0.375,-0.22675,-1.04083e-17,-0.106194,0.00983693,1.02719e-19,0.00276132,8.39198
0.024,0.375,-0.226,-1.38778e-17,-0.105918,0.0100825,-6.0134e-19,0.00281935,8.20482
0.02475,0.375,-0.22525,-1.42437e-17,-0.105641,0.0103277,-1.29214e-18,0.00287731,8.01794
