distance,x,y,z,U_x,U_y,U_z,k,omega
5.57004e-17,0.25,-0.25,4.58753e-18,0,0,0,0,3286.9
0.00075,0.25,-0.24925,3.46945e-18,0.00243317,1.84172e-05,1.63898e-18,4.3002e-07,2093.48
0.0015,0.25,-0.2485,6.93889e-18,0.00339172,7.63535e-05,3.69193e-18,2.70845e-06,429.523
0.00225,0.25,-0.24775,8.23994e-18,0.00313684,0.000173197,3.24646e-18,8.15344e-06,173.34
0.003,0.25,-0.247,3.46945e-18,0.000830382,0.000378867,4.51597e-18,2.75281e-05,97.6079
0.00375,0.25,-0.24625,3.46945e-18,-0.00190507,0.000618322,4.6936e-18,5.33778e-05,56.7571
0.0045,0.25,-0.2455,0,-0.00605302,0.000988809,1.81218e-18,9.97577e-05,41.6923
0.00525,0.25,-0.24475,0,-0.00993358,0.00137411,-1.08228e-18,0.000147783,30.5873
0.006,0.25,-0.244,6.93889e-18,-0.0141061,0.00187085,-4.60233e-18,0.000209247,25.2989
0.00675,0.25,-0.24325,2.00577e-18,-0.0177407,0.00230533,-7.68797e-18,0.000263011,20.6601
0.0075,0.25,-0.2425,0,-0.0211033,0.00287235,-4.06899e-18,0.000319516,18.1818
0.00825,0.25,-0.24175,5.20417e-18,-0.0240607,0.0033762,-7.53876e-19,0.00036954,16.0161
0.009,0.25,-0.241,3.46945e-18,-0.0267759,0.00388219,1.39273e-18,0.000416646,14.1476
0.00975,0.25,-0.24025,6.93889e-18,-0.0292026,0.00447073,3.72633e-19,0.000462247,12.8839
0.0105,0.25,-0.2395,5.20417e-18,-0.0313251,0.00498909,-5.19355e-19,0.00050236,11.7685
0.01125,0.25,-0.23875,2.78504e-18,-0.0333501,0.00548499,-1.3791e-18,0.000540712,10.7009
0.012,0.25,-0.238,3.46945e-18,-0.0350665,0.00606673,-9.85136e-19,0.000577633,10.0008
0.01275,0.25,-0.23725,-3.46945e-18,-0.0367137,0.00662696,-6.07271e-19,0.000613157,9.32743
0.0135,0.25,-0.2365,1.73472e-18,-0.0381423,0.00711758,-2.7856e-19,0.000644191,8.73706
0.01425,0.25,-0.23575,1.04083e-17,-0.0395349,0.00761813,-7.1101e-20,0.000675155,8.1761
0.015,0.25,-0.235,1.04083e-17,-0.0407278,0.00817383,-5.3712e-19,0.000705731,7.77847
0.01575,0.25,-0.23425,1.38778e-17,-0.0419067,0.00872359,-1.002e-18,0.00073598,7.38502
0.0165,0.25,-0.2335,1.56125e-17,-0.0428978,0.00919236,-1.38757e-18,0.00076167,7.04939
0.01725,0.25,-0.23275,1.64799e-17,-0.043889,0.00966112,-1.77314e-18,0.00078736,6.71376
0.018,0.25,-0.232,1.73472e-17,-0.044772,0.0101586,-1.79676e-18,0.00081318,6.44303
0.01875,0.25,-0.23125,1.73472e-17,-0.0455824,0.0106753,-1.57694e-18,0.000839088,6.21595
0.0195,0.25,-0.2305,2.08167e-17,-0.0463747,0.0111817,-1.35488e-18,0.00086447,5.99341
0.02025,0.25,-0.22975,2.42861e-17,-0.0470464,0.0116179,-1.16541e-18,0.000886225,5.80177
0.021,0.25,-0.229,2.42861e-17,-0.0477181,0.0120541,-9.7593e-19,0.00090798,5.61014
0.02175,0.25,-0.22825,2.42861e-17,-0.0483607,0.0124972,-7.4821e-19,0.000929863,5.43132
0.0225,0.25,-0.2275,2.42861e-17,-0.0488888,0.0129679,-3.69728e-19,0.000952251,5.30305
0.02325,0.25,-0.22675,3.46945e-17,-0.049417,0.0134385,8.7533e-21,0.00097464,5.17478
0.024,0.25,-0.226,3.81639e-17,-0.0499194,0.0138888,3.68482e-19,0.00099604,5.05206
0.02475,0.25,-0.22525,3.81639e-17,-0.0503557,0.0142863,6.85731e-19,0.00101483,4.94381
