distance,x,y,z,U_x,U_y,U_z,k,omega
3.46945e-18,1,-0.25,3.46945e-18,0,0,0,0,3286.9
0.00075,1,-0.24925,-5.63785e-18,-0.0635664,-8.052e-06,-4.93111e-18,9.10366e-05,2190.08
0.0015,1,-0.2485,-1.30104e-18,-0.112569,-3.89607e-05,2.11677e-17,0.000444531,451.049
0.00225,1,-0.24775,-2.81893e-18,-0.142201,-0.000103559,-2.40751e-18,0.00121399,187.358
0.003,1,-0.247,-6.93889e-18,-0.152653,-0.000204331,-4.08334e-18,0.0020048,112.413
0.00375,1,-0.24625,-1.12757e-17,-0.159394,-0.000311016,-2.9713e-18,0.00274693,67.9742
0.0045,1,-0.2455,-8.67362e-18,-0.161442,-0.000424484,7.19584e-19,0.00334022,52.7231
0.00525,1,-0.24475,-8.67362e-18,-0.162954,-0.000538503,2.99783e-18,0.00388913,40.3366
0.006,1,-0.244,-1.38778e-17,-0.163203,-0.000656897,2.76538e-18,0.00433593,34.5731
0.00675,1,-0.24325,-1.55041e-17,-0.163455,-0.000773822,2.48707e-18,0.00477902,28.8528
0.0075,1,-0.2425,-1.51788e-17,-0.163062,-0.00089819,1.72546e-18,0.00513832,26.1239
0.00825,1,-0.24175,-1.21431e-17,-0.162661,-0.00102225,7.27008e-19,0.00549306,23.4695
0.009,1,-0.241,-1.17094e-17,-0.16219,-0.00114588,-1.35397e-19,0.00583239,21.1348
0.00975,1,-0.24025,-8.23994e-18,-0.161503,-0.00127349,-7.31715e-19,0.00612593,19.7526
0.0105,1,-0.2395,-8.67362e-18,-0.160815,-0.00140109,-1.32803e-18,0.00641946,18.3704
0.01125,1,-0.23875,-6.51199e-18,-0.16014,-0.00152617,-2.12029e-18,0.00670905,17.0054
0.012,1,-0.238,-9.54098e-18,-0.159294,-0.00165752,-1.36205e-18,0.00696306,16.214
0.01275,1,-0.23725,-6.93889e-18,-0.15846,-0.00178787,-8.59001e-19,0.00721344,15.4355
