# Re40k:r,U,k,tau
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000004441e-04 5.517822230000000300e-02 6.539908900000000366e-06 4.722694059999999914e-05
1.000000000000000888e-03 1.102903179999999983e-01 8.077690630000000031e-05 4.980624829999999838e-04
1.500000000000001332e-03 1.650417939999999917e-01 2.716128739999999916e-04 1.209153369999999960e-03
2.000000000000001776e-03 2.186569939999999934e-01 6.424774120000000021e-04 1.786023770000000040e-03
2.500000000000002220e-03 2.697445210000000149e-01 1.238681429999999957e-03 2.289093130000000205e-03
3.000000000000002665e-03 3.164542349999999726e-01 2.001408039999999933e-03 3.007191819999999963e-03
3.500000000000003109e-03 3.575511809999999957e-01 2.791167580000000065e-03 3.807759090000000044e-03
4.000000000000003553e-03 3.931923019999999935e-01 3.519189600000000029e-03 4.609158609999999649e-03
4.500000000000003997e-03 4.241062899999999969e-01 4.154273679999999878e-03 5.408246339999999742e-03
5.000000000000004441e-03 4.510674949999999850e-01 4.694678849999999945e-03 6.224820550000000237e-03
5.500000000000004885e-03 4.747526240000000120e-01 5.149904379999999636e-03 7.067942120000000189e-03
6.000000000000005329e-03 4.957314079999999845e-01 5.532607329999999698e-03 7.936544190000000346e-03
6.500000000000005773e-03 5.144779269999999460e-01 5.855201980000000403e-03 8.827210749999999870e-03
7.000000000000006217e-03 5.313693840000000002e-01 6.128362729999999731e-03 9.736032230000000315e-03
7.500000000000006661e-03 5.467075129999999783e-01 6.360997390000000355e-03 1.066015130000000019e-02
8.000000000000007105e-03 5.607318559999999730e-01 6.560330670000000426e-03 1.159741190000000005e-02
8.500000000000007550e-03 5.736340479999999520e-01 6.732187459999999617e-03 1.254611570000000072e-02
9.000000000000007994e-03 5.855688690000000474e-01 6.881249760000000305e-03 1.350484729999999918e-02
9.500000000000008438e-03 5.966626870000000249e-01 7.011282039999999598e-03 1.447238699999999975e-02
1.000000000000000888e-02 6.070197400000000298e-01 7.125321649999999570e-03 1.544767309999999991e-02
1.050000000000000933e-02 6.167268230000000351e-01 7.225830850000000000e-03 1.642978130000000148e-02
1.100000000000000977e-02 6.258568770000000336e-01 7.314812880000000350e-03 1.741791189999999934e-02
1.150000000000001021e-02 6.344716830000000085e-01 7.393912289999999589e-03 1.841136820000000007e-02
1.200000000000001066e-02 6.426239719999999878e-01 7.464485249999999739e-03 1.940954779999999949e-02
1.250000000000001110e-02 6.503590329999999753e-01 7.527658480000000256e-03 2.041192569999999984e-02
1.300000000000001155e-02 6.577160410000000290e-01 7.584374920000000291e-03 2.141804140000000065e-02
1.350000000000001199e-02 6.647290769999999460e-01 7.635427949999999860e-03 2.242749100000000079e-02
1.400000000000001243e-02 6.714279220000000103e-01 7.681488640000000249e-03 2.343991850000000030e-02
1.450000000000001288e-02 6.778387639999999825e-01 7.723129880000000405e-03 2.445500739999999923e-02
1.500000000000001332e-02 6.839847329999999559e-01 7.760842040000000275e-03 2.547247490000000003e-02
1.550000000000001377e-02 6.898863480000000381e-01 7.795046519999999576e-03 2.649206999999999951e-02
1.600000000000001421e-02 6.955618839999999636e-01 7.826108309999999652e-03 2.751356699999999919e-02
1.650000000000001465e-02 7.010276880000000377e-01 7.854344909999999916e-03 2.853676210000000157e-02
1.700000000000001510e-02 7.062984410000000546e-01 7.880033369999999218e-03 2.956147190000000050e-02
1.750000000000001554e-02 7.113873659999999655e-01 7.903416050000000581e-03 3.058753079999999847e-02
1.800000000000001599e-02 7.163064049999999794e-01 7.924705750000000243e-03 3.161478980000000105e-02
1.850000000000001643e-02 7.210663819999999502e-01 7.944090799999999411e-03 3.264311229999999897e-02
1.900000000000001688e-02 7.256771419999999972e-01 7.961738649999999459e-03 3.367237320000000117e-02
1.950000000000001732e-02 7.301476580000000327e-01 7.977797499999999750e-03 3.470245789999999719e-02
2.000000000000001776e-02 7.344861360000000117e-01 7.992399230000000673e-03 3.573326319999999695e-02
2.050000000000001821e-02 7.387000839999999791e-01 8.005661980000000275e-03 3.676469369999999653e-02
2.100000000000001865e-02 7.427964040000000212e-01 8.017691840000000514e-03 3.779666109999999662e-02
2.150000000000001910e-02 7.467814520000000122e-01 8.028584170000000256e-03 3.882908429999999689e-02
2.200000000000001954e-02 7.506610860000000329e-01 8.038424809999999976e-03 3.986188909999999891e-02
2.250000000000001998e-02 7.544407170000000384e-01 8.047291249999999688e-03 4.089500719999999978e-02
2.300000000000002043e-02 7.581253580000000269e-01 8.055253769999999591e-03 4.192837490000000250e-02
2.350000000000002087e-02 7.617196579999999662e-01 8.062376680000000323e-03 4.296193129999999888e-02
2.400000000000002132e-02 7.652279509999999618e-01 8.068717959999999190e-03 4.399562249999999786e-02
2.450000000000002176e-02 7.686542410000000158e-01 8.074330489999999999e-03 4.502939639999999771e-02
2.500000000000002220e-02 7.720022859999999820e-01 8.079262720000000841e-03 4.606320469999999889e-02
2.550000000000002265e-02 7.752756020000000081e-01 8.083558850000000309e-03 4.709700389999999653e-02
2.600000000000002309e-02 7.784774580000000110e-01 8.087259269999999209e-03 4.813075259999999994e-02
2.650000000000002354e-02 7.816109070000000214e-01 8.090401239999999577e-03 4.916441130000000215e-02
2.700000000000002398e-02 7.846788289999999666e-01 8.093019209999999936e-03 5.019794250000000208e-02
2.750000000000002442e-02 7.876839340000000300e-01 8.095144979999999851e-03 5.123131160000000267e-02
2.800000000000002487e-02 7.906287629999999567e-01 8.096807690000000848e-03 5.226448680000000263e-02
2.850000000000002531e-02 7.935156880000000523e-01 8.098034000000000482e-03 5.329743879999999934e-02
2.900000000000002576e-02 7.963469699999999873e-01 8.098848940000000218e-03 5.433013899999999952e-02
2.950000000000002620e-02 7.991247299999999498e-01 8.099275859999999563e-03 5.536255899999999869e-02
3.000000000000002665e-02 8.018509750000000214e-01 8.099336259999999343e-03 5.639467220000000253e-02
3.050000000000002709e-02 8.045276000000000094e-01 8.099050119999999520e-03 5.742645880000000341e-02
3.100000000000002753e-02 8.071563990000000244e-01 8.098435960000000683e-03 5.845790490000000311e-02
3.149999999999997247e-02 8.097390730000000314e-01 8.097511039999999785e-03 5.948899900000000074e-02
3.199999999999997291e-02 8.122772329999999874e-01 8.096291480000000068e-03 6.051973089999999889e-02
