               X               Y            VELX            VELY            PRES            TEMP            PS 1            PS 2  2.12500000E+03
  2.50000000E+00 -1.00000000E+00 -3.26174822E-14  1.56801669E-20 -1.21612436E-01  9.99999975E-05 -2.98278594E-18  7.03868445E-17
  2.50000000E+00 -9.97000000E-01 -1.26350551E-01  9.25696751E-05 -1.21611762E-01  9.99999975E-05  4.29017452E-04  1.09538837E-02
  2.50000000E+00 -9.94000000E-01 -1.68512250E-01  2.37444670E-04 -1.21609605E-01  9.99999975E-05  9.53961325E-04  3.46113615E-02
  2.50000000E+00 -9.91000000E-01 -1.80774413E-01  3.68894383E-04 -1.21605762E-01  9.99999975E-05  1.34618332E-03  6.41231857E-02
  2.50000000E+00 -9.88000000E-01 -1.85794905E-01  4.92107046E-04 -1.21600781E-01  9.99999975E-05  1.69213505E-03  9.28298967E-02
  2.50000000E+00 -9.85000000E-01 -1.88269005E-01  6.10766822E-04 -1.21595121E-01  9.99999975E-05  2.00219643E-03  1.19388234E-01
  2.50000000E+00 -9.82000000E-01 -1.89567518E-01  7.26425571E-04 -1.21589051E-01  9.99999975E-05  2.28438931E-03  1.43838850E-01
  2.50000000E+00 -9.79000000E-01 -1.90222958E-01  8.39829550E-04 -1.21582731E-01  9.99999975E-05  2.54474439E-03  1.66439434E-01
  2.50000000E+00 -9.76000000E-01 -1.90485243E-01  9.51391264E-04 -1.21576263E-01  9.99999975E-05  2.78759963E-03  1.87443084E-01
  2.50000000E+00 -9.73000000E-01 -1.90487828E-01  1.06136426E-03 -1.21569718E-01  9.99999975E-05  3.01610371E-03  2.07062304E-01
  2.50000000E+00 -9.70000000E-01 -1.90308973E-01  1.16991750E-03 -1.21563144E-01  9.99999975E-05  3.23259559E-03  2.25470083E-01
  2.50000000E+00 -9.67000000E-01 -1.89997623E-01  1.27717039E-03 -1.21556578E-01  9.99999975E-05  3.43885471E-03  2.42807182E-01
  2.50000000E+00 -9.64000000E-01 -1.89586205E-01  1.38321137E-03 -1.21550048E-01  9.99999975E-05  3.63626680E-03  2.59189092E-01
  2.50000000E+00 -9.61000000E-01 -1.89097048E-01  1.48810826E-03 -1.21543575E-01  9.99999975E-05  3.82593274E-03  2.74711714E-01
